pdf_index,ref,title,introduction
pdf26.pdf,https://arxiv.org/pdf/1212.3900.pdf,Probabilistic Latent Semantic Analysis with the EM Algorithm,Probabilistic Latent Semantic Analysis with the EM Algorithm
pdf27.pdf,https://www.geeksforgeeks.org/ml-expectation-maximization-algorithm/,ML | Expectation-Maximization Algorithm,ML | Expectation-Maximization Algorithm
pdf28.pdf,https://www.dcs.bbk.ac.uk/~dell/teaching/cc/book/ditp/ditp_ch7.pdf,"EM Algorithms for Text
Processing",No Preview Available
pdf29.pdf,https://www.cs.cmu.edu/~nasmith/LS2/gimpel.06.pdf,#L5.1 A review of techniques in topic mining,Modeling Topics
pdf30.pdf,https://www.stat.cmu.edu/~cshalizi/uADA/12/lectures/ch20.pdf,#L5.2: A chapter from stat @ CMU for introduing the Mixture Model.,No Preview Available
pdf31.pdf,https://www.statcan.gc.ca/en/data-science/network/topic-modelling,#L5.1: A technical review of Topic Modeling.,Topic Modelling and Dynamic Topic Modelling : A technical review
pdf32.pdf,https://en.wikipedia.org/wiki/Mixture_model,"#L5.2: The Wikipedia page of the concept ""Mixture Model"" coverd in L5....",Mixture model
pdf33.pdf,https://en.wikipedia.org/wiki/Topic_model,"#L5.1: The Wikipedia page of the concept of ""topic model"" coverd in L5...",Topic model
pdf34.pdf,https://en.wikipedia.org/wiki/Hidden_Markov_model,A great example to explain hidden Markov model in Lecture #L7.1,"In its discrete form, a hidden Markov process can be visualized as a generalization of the urn problem with replacement (where each item from the urn is returned to the original urn before the next..."
pdf35.pdf,http://www.stat.columbia.edu/~bodhi/Talks/2ComponentMixModel.pdf,These slides from Columbia give great mathematical insights to how the...,No Preview Available
pdf36.pdf,https://arxiv.org/pdf/2203.10256.pdf,This research paper gives a brief intro to Mixture Language Models des...,No Preview Available
pdf37.pdf,https://stephens999.github.io/fiveMinuteStats/intro_to_mixture_models.html,Introduction to Mixture Models #L5.2,"We often make simplifying modeling assumptions when analyzing a data set such as assuming each observation comes from one specific distribution (say, a Gaussian distribution). Then we proceed to es..."
pdf38.pdf,https://stephens999.github.io/fiveMinuteStats/intro_to_mixture_models.html,Introduction to Mixture Models,"We often make simplifying modeling assumptions when analyzing a data set such as assuming each observation comes from one specific distribution (say, a Gaussian distribution). Then we proceed to es..."
pdf39.pdf,https://www.ibm.com/topics/text-mining,Learn about text mining #L5.1,What is text mining?
pdf40.pdf,https://dl.acm.org/doi/abs/10.1145/2505515.2505578?casa_token=M1Dj1QeOpGYAAAAA:iZBTqESEpEOu9e-ZSvnY-rL7lQdnlK9h3K6D7yJTUyW_AkUkab6_StYcYsUPFj5LW1LA9PNg6DJiFA,#L5.2,No Preview Available
pdf41.pdf,https://people.eecs.berkeley.edu/~pabbeel/cs287-fa13/slides/Likelihood_EM_HMM_Kalman.pdf,#L5.1,EM Slides
pdf42.pdf,https://www.cs.toronto.edu/~rgrosse/csc321/mixture_models.pdf,#L5.2,No Preview Available
pdf43.pdf,https://www.kdnuggets.com/2016/07/text-mining-101-topic-modeling.html,#L5.1,No Preview Available
pdf44.pdf,http://www.hcbravo.org/dscert-algo/homeworks/topic_modeling.html,#L5.1,No Preview Available
pdf45.pdf,https://machinelearningmastery.com/expectation-maximization-em-algorithm/,A good article explaining EM algorithm and why is it used by comparing...,A Gentle Introduction to Expectation-Maximization (EM Algorithm)
pdf46.pdf,https://www.cambridge.org/core/journals/natural-language-engineering/article/abs/topicbased-mixture-language-modelling/A26AD26F5DBE74575EB41483A9EABF5F,A good research paper describing an approach for constructing a mixtur...,Topic-based mixture language modelling
pdf47.pdf,https://www.kdnuggets.com/2016/07/text-mining-101-topic-modeling.html,A general overview of Topic Modeling and the various methods used for ...,Text Mining 101: Topic Modeling
pdf48.pdf,https://people.cs.pitt.edu/~milos/courses/cs3750-Fall2007/lectures/plsa.pdf,An application of PLSA #L6.3,Hypertext Induced Topic Search (HITS)
pdf49.pdf,https://ai.stanford.edu/~chuongdo/papers/em_tutorial.pdf,A nice description of how the expectation maximization (EM) algorithm ...,No Preview Available
pdf50.pdf,https://machinelearningmastery.com/expectation-maximization-em-algorithm/,#L5.2 EM,No Preview Available
pdf51.pdf,https://machinelearningmastery.com/expectation-maximization-em-algorithm/,#L5.2 EM,No Preview Available
pdf52.pdf,https://machinelearningmastery.com/expectation-maximization-em-algorithm/,#L5.2 EM,No Preview Available
pdf53.pdf,https://machinelearningmastery.com/expectation-maximization-em-algorithm/,#L5.2 EM,No Preview Available
pdf54.pdf,https://machinelearningmastery.com/expectation-maximization-em-algorithm/,#L5.2 EM,No Preview Available
pdf55.pdf,https://machinelearningmastery.com/expectation-maximization-em-algorithm/,#L5.2 EM,No Preview Available
pdf56.pdf,https://machinelearningmastery.com/expectation-maximization-em-algorithm/,#L5.2 EM,No Preview Available
pdf57.pdf,https://www.kdnuggets.com/2016/07/text-mining-101-topic-modeling.html,This explains about Topic Mining #L5.1,Topic Modeling
pdf58.pdf,https://machinelearningmastery.com/expectation-maximization-em-algorithm/,This explains about EM algorithm #L5.2,Gentle Introduction to Expectation-Maximization
pdf59.pdf,https://monkeylearn.com/topic-analysis/,#L5.1 topic mining,No Preview Available
pdf60.pdf,https://text-machine-lab.github.io/blog/2020/generative-models/,#6.1 some general models,No Preview Available
pdf61.pdf,https://sambanova.ai/blog/Document-Classification-Demo/,#L5.2,No Preview Available
pdf62.pdf,https://nlp.stanford.edu/IR-book/html/htmledition/using-query-likelihood-language-models-in-ir-1.html,#L5.1,No Preview Available
pdf63.pdf,https://d1wqtxts1xzle7.cloudfront.net/30739211/plsa-note-libre.pdf?1391833371=,#5.2 EM algorithm for PLSA - A note,No Preview Available
pdf64.pdf,https://cseweb.ucsd.edu/~elkan/250B/topicmodels.pdf,#L5.1 A paper on topic mining,No Preview Available
pdf65.pdf,https://dl.acm.org/doi/pdf/10.1145/1150402.1150482,#5.1 Mixture Models for topic mining,No Preview Available
pdf66.pdf,https://en.wikipedia.org/wiki/Probabilistic_latent_semantic_analysis,Wikipedia page of PLSA for Lecture #6.3,"Probabilistic latent semantic analysis (PLSA), also known as probabilistic latent semantic indexing (PLSI, especially in information retrieval circles) is a statistical technique for the analysis o..."
pdf67.pdf,https://stats.stackexchange.com/questions/83387/why-is-the-expectation-maximization-algorithm-guaranteed-to-converge-to-a-local/183410,"A discussion on the convergence guarantee of EM algorithm, related to ...","First of all, it is possible that EM converges to a local min, a local max, or a saddle point of the likelihood function. More precisely, as Tom Minka pointed out, EM is guaranteed to converge to a..."
pdf68.pdf,http://www.vldb.org/pvldb/vol8/p305-ElKishky.pdf,#L5.1,No Preview Available
pdf69.pdf,https://en.wikipedia.org/wiki/Expectation–maximization_algorithm,Wikipedia page for EM algorithm. Lecture #L6.1,No Preview Available
pdf70.pdf,https://www.geeksforgeeks.org/ml-expectation-maximization-algorithm/,#L5.2 - EM algorithm explanation,No Preview Available
pdf71.pdf,https://towardsdatascience.com/expectation-maximization-explained-c82f5ed438e5,#L5.2 A blog explaining expectation maximization,No Preview Available
pdf72.pdf,https://blog.marketmuse.com/glossary/topic-modeling-definition/,#L5.1 Topic modelling,No Preview Available
pdf73.pdf,https://www.nature.com/articles/nbt1406,#L5.2 Expectation Maximisation algorithm,No Preview Available
pdf74.pdf,http://www-personal.umich.edu/~qmei/pub/kdd06-mix.pdf,A paper advised by Prof. Zhai. Proposed and analyzed the CPLSA model a...,#5.1 A Mixture Model for Contextual Text Mining
pdf75.pdf,https://sarit-maitra.medium.com/nlp-ner-topic-modeling-for-news-content-analysis-9cee7ec35e69,#L5.1,Unstructured Text Data Mining & Topic Modeling
pdf76.pdf,https://thesai.org/Downloads/Volume6No1/Paper_21-A_Survey_of_Topic_Modeling_in_Text_Mining.pdf,#L5.1 A paper explaining topic mining,No Preview Available
pdf77.pdf,https://towardsdatascience.com/gaussian-mixture-models-and-expectation-maximization-a-full-explanation-50fa94111ddd,Requirement for Mixture Models and Intuition behind using E-M for opti...,Gaussian Mixture Models and Expectation-Maximization (A full explanation)
pdf78.pdf,https://en.wikipedia.org/wiki/Probabilistic_latent_semantic_analysis,#6.3 plsa defination and concepts,No Preview Available
pdf79.pdf,https://www.cambridge.org/core/journals/political-analysis/article/abs/classification-by-opinionchanging-behavior-a-mixture-model-approach/CC64B1BD468B1B1D5790AAF1C9741456,#6.2 a paper about mixture model,No Preview Available
pdf80.pdf,https://monkeylearn.com/topic-analysis/,Intro to topic analysis with explanations and examples.,No Preview Available
pdf81.pdf,https://en.wikipedia.org/wiki/Expectation–maximization_algorithm,EM Algorithm in #L5.2,No Preview Available
pdf82.pdf,https://text-machine-lab.github.io/blog/2020/generative-models/,Generative Models in #L5.1,No Preview Available
pdf83.pdf,https://machinelearningmastery.com/expectation-maximization-em-algorithm/,This gives a nice description of the EM model and how it works on a hi...,"The Expectation-Maximization Algorithm, or EM algorithm for short, is an approach for maximum likelihood estimation in the presence of latent variables.

A general technique for finding maximum l..."
pdf84.pdf,https://en.wikipedia.org/wiki/Mixture_model,This gives an example of the mixture model being implemented #L5.1,"Assume that a document is composed of N different words from a total vocabulary of size V, where each word corresponds to one of K possible topics. The distribution of such words could be modelled ..."
pdf85.pdf,https://towardsdatascience.com/expectation-maximization-explained-c82f5ed438e5,"#L5.2
General setting for EM","Let’s move onto the general setting. Here is the setup:

We have some data X of whatever form.
We posit there is also unobserved (latent) data Δ, again of whatever form.
We have a model with pa..."
pdf86.pdf,https://text-machine-lab.github.io/blog/2020/generative-models/,"#L5.1
More information on discrete distributions and language modelin...","One classic example of generating discrete distributions is the task of language modeling. Specifically, the goal is to generate a natural language sequence of words which is realistic; it sounds l..."
pdf87.pdf,https://www.cs.toronto.edu/~rgrosse/csc321/mixture_models.pdf,A detailed set of notes on mixture models #L5.2,Mixture models
pdf88.pdf,https://thesai.org/Downloads/Volume6No1/Paper_21-A_Survey_of_Topic_Modeling_in_Text_Mining.pdf,A nice survey of topic modeling techniques #L5.1,A Survey of Topic Modeling
pdf89.pdf,https://www.kdnuggets.com/2016/07/text-mining-101-topic-modeling.html,#L5.1 - Topic modelling,No Preview Available
pdf90.pdf,https://static.googleusercontent.com/media/research.google.com/en//pubs/archive/43902.pdf,"A paper on n-gram mixture model, which use EM to separate between clus...",No Preview Available
pdf91.pdf,https://ieeexplore.ieee.org/document/6707701,N-gram mixture #5.2,Mixture of mixture n-gram language models
pdf92.pdf,https://static.googleusercontent.com/media/research.google.com/en//pubs/archive/43902.pdf,A paper introduces a mixture of n-gram language models. And use EM alg...,No Preview Available
pdf93.pdf,https://www.cs.toronto.edu/~jlucas/teaching/csc411/lectures/lec15_16_handout.pdf,Explanation to EM steps and Gaussian Mixture Model,Slides for Gaussian Mixture Model and EM steps#L5.2
pdf94.pdf,https://stephens999.github.io/fiveMinuteStats/intro_to_mixture_models.html,Introduction to mixture models mentioned in lecture 5.2,No Preview Available
pdf95.pdf,https://www.kdnuggets.com/2016/07/text-mining-101-topic-modeling.html,Introduction to topic mining mentioned in lecture 5.1,No Preview Available
pdf96.pdf,https://towardsdatascience.com/gaussian-mixture-models-explained-6986aaf5a95,#L5.2 This article provides a short introduction to Gaussian Mixture M...,"In the world of Machine Learning, we can distinguish two main areas: Supervised and unsupervised learning. The main difference between both lies in the nature of the data as well as the approaches ..."
pdf97.pdf,http://hanj.cs.illinois.edu/pdf/kdd20_ymeng.pdf,topic mining with category tree in spherical space,A paper about Hierarchical Topic Mining#L5.1
pdf98.pdf,https://stephens999.github.io/fiveMinuteStats/intro_to_mixture_models.html,#L5.2 This article provides an easy-to-understand introduction to the ...,"We often make simplifying modeling assumptions when analyzing a data set such as assuming each observation comes from one specific distribution (say, a Gaussian distribution). Then we proceed to es..."
pdf99.pdf,https://www.scientific.net/AMM.444-445.1713,#L5.1 This paper provides a survey of the current mainstream methods i...,"Text mining is the task of automatic discovery of new, previously unknown information from unstructured document collections. Vector space or bag of words representation is one of the mainstream de..."
pdf100.pdf,https://ieeexplore.ieee.org/document/6707701,A useful explanation of n-gram mixture covered in Lecture #L5.2,Mixture n-gram language models
pdf101.pdf,https://stephens999.github.io/fiveMinuteStats/intro_to_mixture_models.html,#L5.1 Definition of mixture model and two examples.,No Preview Available
pdf102.pdf,https://www.kdnuggets.com/2016/07/text-mining-101-topic-modeling.html,A useful explanation of topic mining covered in Lecture #L5.1,Text Mining 101: Topic Modeling
pdf103.pdf,https://brilliant.org/wiki/gaussian-mixture-model/,#L5.2 A detailed explanation of expectation maximization being used fo...,EM for Gaussian Mixture Models
pdf104.pdf,https://www.cambridge.org/core/journals/natural-language-engineering/article/abs/topicbased-mixture-language-modelling/A26AD26F5DBE74575EB41483A9EABF5F,mixture language modeling #5.1,Topic-based mixture language modelling
pdf105.pdf,https://arxiv.org/pdf/2205.01845.pdf,A recent paper that discusses seed-guided topic mining using both disc...,"In this paper, we generalize the task of seed-guided topic discovery to allow out-of-vocabulary seeds. We propose a novel framework, named SEETOPIC, wherein the general knowledge of PLMs and the lo..."
pdf106.pdf,https://www.sciencedirect.com/science/article/abs/pii/S0925231222008748,This paper introduced a Neural Network to learn the distribution of th...,No Preview Available
pdf107.pdf,https://en.wikipedia.org/wiki/Probabilistic_latent_semantic_analysis,PLSA model in lecture #L5.2,"Probabilistic latent semantic analysis (PLSA), also known as probabilistic latent semantic indexing (PLSI, especially in information retrieval circles) is a statistical technique for the analysis o..."
pdf108.pdf,https://en.wikipedia.org/wiki/Expectation–maximization_algorithm,EM algorithm in lecture #L5.1,The EM algorithm is used to find (local) maximum likelihood parameters of a statistical model in cases where the equations cannot be solved directly. Typically these models involve latent variables...
pdf109.pdf,https://en.wikipedia.org/wiki/Probabilistic_latent_semantic_analysis,Wiki on PLSA #L6.3,No Preview Available
pdf110.pdf,https://ieeexplore.ieee.org/document/6707701,Paper on mixture n-gram language models covered in #L5.2,Mixture n-gram language models
pdf111.pdf,https://monkeylearn.com/topic-analysis/,This page explains about topic analysis covered in #L5.1,Topic analysis uses natural language processing (NLP) to break down human language so that you can find patterns and unlock semantic structures within texts to extract insights and help make data-d...
pdf112.pdf,https://www1.icsi.berkeley.edu/ftp/global/global/pub/speech/papers/euro99-emlm.pdf,Another paper about topic-based language models using EM method #L5.2,"Topics are modeled in a latent variable framework in which we also derive an
EM algorithm to perform a topic factor decomposition based on
a segmented training corpus"
pdf113.pdf,https://books.google.com/books?hl=zh-CN,#6.1#,No Preview Available
pdf114.pdf,https://web.ics.purdue.edu/~jltobias/BayesClass/lecture_notes/mixtures_student.pdf,Mixture Models #L5.2,Mixture Models
pdf115.pdf,https://www.stat.cmu.edu/~cshalizi/uADA/12/lectures/ch20.pdf,Mixture Models #L5.2,Mixture Models
pdf116.pdf,https://stephens999.github.io/fiveMinuteStats/intro_to_mixture_models.html,Mixture Models #L5.2,Mixture Models
pdf117.pdf,https://thesai.org/Downloads/Volume6No1/Paper_21-A_Survey_of_Topic_Modeling_in_Text_Mining.pdf,Topic Mining  #L5.1,Topic Mining
pdf118.pdf,https://www.kdnuggets.com/2016/07/text-mining-101-topic-modeling.html,Topic Mining #L5.1,Topic Mining
pdf119.pdf,https://en.wikipedia.org/wiki/Mixture_model,Mixture model #L5.1,Mixture model
pdf120.pdf,http://www.iro.umontreal.ca/~nie/IFT6255/zhai-cimk-01.pdf,"A query language model based on feedback documents, on based on a gene...",#L4.2 Application of KL-divergence Minimization
pdf121.pdf,https://nlp.stanford.edu/IR-book/html/htmledition/okapi-bm25-a-non-binary-model-1.html,A detailed breakdown of the BM25 formula and explanations.,#L4.1 The Okapi BM25 Formula
pdf122.pdf,https://www.statlect.com/fundamentals-of-statistics/EM-algorithm,Discussions on the advantages of the EM algorithm and more detailed ma...,#L5.2 EM Algorithm Convergence Discussion and Proof
pdf123.pdf,https://people.cs.pitt.edu/~milos/courses/cs3750-Fall2007/lectures/plsa.pdf,For those who needs more information on Probabilistic Latent Semantic ...,#L5.1 More on Probabilistic Latent Semantic Analysis/Indexing
pdf124.pdf,https://towardsdatascience.com/implement-expectation-maximization-em-algorithm-in-python-from-scratch-f1278d1b9137,EM algorithm in Python #L6.2,"def run_em(x, params):"
pdf125.pdf,https://www.colorado.edu/amath/sites/default/files/attached-files/em_algorithm.pdf,#L6.1 EM algorithm example,Expectation Maximization (EM) Algorithm
pdf126.pdf,https://cgi.luddy.indiana.edu/~yye/i529/lectures/EM.pdf,EM algorithm explanations with examples and applications #L6.2,No Preview Available
pdf127.pdf,https://www.statisticshowto.com/em-algorithm-expectation-maximization/,Induction to EM Algorithm with applications and limitations #L6.1,No Preview Available
pdf128.pdf,https://towardsdatascience.com/expectation-maximization-explained-c82f5ed438e5,#L5.2 Expectation Maximization Algorithm - All about it!,No Preview Available
pdf129.pdf,https://monkeylearn.com/topic-analysis/,#L5.1 Topic Analysis - A Guide,No Preview Available
pdf130.pdf,https://monkeylearn.com/topic-analysis/,#L5.1 Introduction about Topic Analysis,Topic Analysis: The Ultimate Guide
pdf131.pdf,http://www.hcbravo.org/dscert-algo/homeworks/topic_modeling.html,PLSA with EM Algorithm #L6.3,PLSA with EM Algorithm
pdf132.pdf,https://www.geeksforgeeks.org/ml-expectation-maximization-algorithm/,EM Algorithm #L6.2,Expectation-Maximization Algorithm
pdf133.pdf,https://towardsdatascience.com/expectation-maximization-explained-c82f5ed438e5,Expectation Maximization #L6.1,Expectation Maximization Explained
pdf134.pdf,https://medium.com/towards-data-science/gaussian-mixture-models-explained-6986aaf5a95,a useful explanation of mixture model covered in # L 5.2,"Which reads “given a data point x, what is the probability it came from Gaussian k"
pdf135.pdf,https://towardsdatascience.com/deep-generative-models-25ab2821afd3,A useful explanation of the generative model covered in # L5.1,The idea is to learn a low-dimensional latent representation of the training data called latent variables (variables which are not directly observed but are rather inferred through a mathematical ...
pdf136.pdf,https://en.wikipedia.org/wiki/Probabilistic_latent_semantic_analysis,PLSA for #L6.3,No Preview Available
pdf137.pdf,https://www.statlect.com/fundamentals-of-statistics/EM-algorithm,EM convergence for #L6.2,No Preview Available
pdf138.pdf,https://machinelearningmastery.com/expectation-maximization-em-algorithm/,EM Algorithm for #L6.1,No Preview Available
pdf139.pdf,https://en.wikipedia.org/wiki/Probabilistic_latent_semantic_analysis,PLSA for #L6.1,No Preview Available
pdf140.pdf,https://people.duke.edu/~ccc14/sta-663/EMAlgorithm.html,A detailed page in teaching how to compute the EM and models such as G...,"Derivation of EM equations
Illustration of EM convergence
Derivation of update equations of coin tossing example"
pdf141.pdf,https://machinelearningmastery.com/expectation-maximization-em-algorithm/,A supplementary blog talking about the EM Algorithm. Easy to understan...,A Gentle Introduction to Expectation-Maximization
pdf142.pdf,http://www.columbia.edu/~mh2078/MachineLearningORFE/EM_Algorithm.pdf,EM algorithm note with excellent examples #L5.1,EM Algorithm Course Note
pdf143.pdf,https://arxiv.org/pdf/1212.3900.pdf,A tutorial going over the PLSA with abundant and detailed proof #L6.2,Tutorial on Probablistic Latent Semantic Analysis
pdf144.pdf,https://see.stanford.edu/materials/aimlcs229/cs229-notes8.pdf,EM Algorithm #L6.2,No Preview Available
pdf145.pdf,https://probabilistic-latent-semantic-analysis.readthedocs.io/en/latest/plsa.algorithms.plsa.html,PLSA #L6.3,"At its core lies the assumption that the normalized document-word (or term-frequency) matrix p(d, w), weighted with the inverse document frequency or not, can be factorized as:"
pdf146.pdf,http://www.columbia.edu/~mh2078/MachineLearningORFE/EM_Algorithm.pdf,EM Algorithm #L6.2,No Preview Available
pdf147.pdf,https://machinelearningmastery.com/expectation-maximization-em-algorithm/,The Expectation-Maximization Algorithm #L6.1,"The Expectation-Maximization Algorithm, or EM algorithm for short, is an approach for maximum likelihood estimation in the presence of latent variables."
pdf148.pdf,https://www.kaggle.com/code/charel/learn-by-example-expectation-maximization/notebook,Detailed Python code implementing the EM algorithm #L6.1,No Preview Available
pdf149.pdf,https://en.wikipedia.org/wiki/Mixture_model,#L5.2 A wiki page of Mixture model,Mixture model
pdf150.pdf,https://arxiv.org/pdf/2203.10256.pdf,Dependency-based Mixture Language Models L5.1,No Preview Available
pdf151.pdf,https://pzuliani.github.io/papers/Rusakovica_etal_IB2014.pdf,Probabilistic Latent Semantic Analysis Applied to Whole Bacterial Geno...,"In this work we applied the PLSA approach to analyse the common genomic features in methicillin resistant Staphylococcus aureus, using tokens derived from amino acid sequences rather than DNA"
pdf152.pdf,https://towardsdatascience.com/topic-modelling-with-plsa-728b92043f41,Description of Probabilistic Latent Semantic Analysis (PLSA)  that cov...,Topic modelling with PLSA
pdf153.pdf,https://stat.uw.edu/seminars/statistical-and-computational-guarantees-em-algorithm,The Computational Guarantees for the EM Algorithm that covered in the ...,Statistical and Computational Guarantees for the EM Algorithm
pdf154.pdf,https://www.statisticshowto.com/em-algorithm-expectation-maximization/,The introduction of EM Algorithm that covered in the lecture #L6.1,EM Algorithm (Expectation-maximization): Simple Definition
pdf156.pdf,https://towardsdatascience.com/expectation-maximization-explained-c82f5ed438e5,A great website that discusses the the EM algorithm in generality(cove...,Expectation Maximization (EM) is a classic algorithm developed in the 60s and 70s with diverse applications. It can be used as an unsupervised clustering algorithm and extends to NLP applications l...
pdf157.pdf,https://www.analyticsvidhya.com/blog/2021/05/complete-guide-to-expectation-maximization-algorithm/,A great website that explains how EM algorithm works(discussed in #L6....,"In most of the real-life problem statements of Machine learning, it is very common that we have many relevant features available to build our model but only a small portion of them are observable. ..."
pdf158.pdf,https://towardsdatascience.com/em-algorithm-aaaa181af127,EM Algorithm derivation and Python code #L6.2,No Preview Available
pdf159.pdf,http://cs229.stanford.edu/proj2009/JalilianLiuPu.pdf,An essay taking about the application in PLSA. It includes introductio...,"An Application of
Probabilistic Latent Semantic Analysis (PLSA)"
pdf160.pdf,https://www.mygreatlearning.com/blog/pos-tagging/,#L7.1 HMM application - Part of Speech Tagging,Part of Speech (POS) tagging with Hidden Markov Model
pdf161.pdf,https://arxiv.org/pdf/1301.6705.pdf,#L6.3 Original paper on PLSA,Probabilistic Latent Semantic Analysis
pdf162.pdf,https://towardsdatascience.com/implement-expectation-maximization-em-algorithm-in-python-from-scratch-f1278d1b9137,Implement Expectation-Maximization Algorithm(EM) in Python from Scratc...,Implement Expectation-Maximization Algorithm(EM) in Python from Scratch
pdf163.pdf,https://cdn.intechopen.com/pdfs/79594.pdf,Fast Computation of the EM Algorithm for Mixture Models. Related to Le...,Fast Computation of the EM Algorithm for Mixture Models
pdf164.pdf,https://github.com/hitalex/PLSA,A github repo that implements PLSA via the EM algorithm using Python #...,No Preview Available
pdf165.pdf,https://reader.elsevier.com/reader/sd/pii/S0885230898901188?token=754C232B97B13537BC680BCDBEAF7E2078A1A64BA75E084C4475C1DE8A94AFB4DECC0A292212CA0EF30E4F36A295687A,The paper describes using interpolated n-gram and trigger pair languag...,"Interpolation of n-gram and
mutual-information based trigger pair language
models for Mandarin speech recognition"
pdf166.pdf,https://en.wikipedia.org/wiki/N-gram,The introduction of n-gram by Wikipedia #L2.2,N-gram
pdf167.pdf,http://mlwiki.org/index.php/Statistical_Language_Models,The basic concepts of statistical Language Models #L2.1,Statistical Language Models
pdf168.pdf,https://www.tandfonline.com/doi/full/10.1080/01621459.2021.1888739,Two-Component Mixture Model in the Presence of Covariates L5.2,No Preview Available
pdf169.pdf,http://www.stat.columbia.edu/~bodhi/Talks/2ComponentMixModel.pdf,Estimation of a Two-component Mixture Model,No Preview Available
pdf170.pdf,https://machinelearningmastery.com/expectation-maximization-em-algorithm/,A useful explanation of EM algorithm covered in #L6.2,"The EM algorithm is an iterative approach that cycles between two modes. The first mode attempts to estimate the missing or latent variables, called the estimation-step or E-step. The second mode a..."
pdf171.pdf,https://towardsdatascience.com/expectation-maximization-explained-c82f5ed438e5,A useful explanation of EM algorithm covered in #L6.1,"(Expectation) Assign each data point to a cluster probabilistically. In this case, we compute the probability it came from the red cluster and the yellow cluster respectively.
(Maximization) Updat..."
